sivigila_code,department,municipality,zika_confirmed_laboratory,zika_confirmed_clinic,zika_suspected,zika_total
41132,HUILA,CAMPOALEGRE,3,124,0,127
41206,HUILA,COLOMBIA,0,0,14,14
41244,HUILA,ELIAS,0,0,9,9
41298,HUILA,GARZON,2,352,0,354
41306,HUILA,GIGANTE,1,225,0,226
41319,HUILA,GUADALUPE,1,53,0,54
41349,HUILA,HOBO,3,20,0,23
41357,HUILA,IQUIRA,1,21,0,22
41359,HUILA,ISNOS,0,0,1,1
41378,HUILA,LA ARGENTINA,0,0,1,1
41396,HUILA,LA PLATA,1,9,0,10
41483,HUILA,NATAGA,0,0,1,1
41503,HUILA,OPORAPA,0,0,3,3
41518,HUILA,PAICOL,0,0,4,4
41524,HUILA,PALERMO,2,141,0,143
41530,HUILA,PALESTINA,0,0,1,1
41548,HUILA,PITAL,0,0,10,10
41551,HUILA,PITALITO,0,0,60,60
41615,HUILA,RIVERA,2,72,0,74
41660,HUILA,SALADOBLANCO,0,0,0,0
41668,HUILA,SAN AGUSTIN,0,0,3,3
41676,HUILA,SANTA MARIA,0,0,70,70
41770,HUILA,SUAZA,0,0,61,61
41791,HUILA,TARQUI,1,6,0,7
41797,HUILA,TESALIA,0,0,17,17
41799,HUILA,TELLO,1,14,0,15
41801,HUILA,TERUEL,0,0,8,8
41807,HUILA,TIMANA,0,0,68,68
41872,HUILA,VILLAVIEJA,2,9,0,11
41885,HUILA,YAGUARA,2,24,0,26
44000,GUAJIRA,* LA GUAJIRA. MUNICIPIO DESCONOCIDO,0,0,14,14
44001,GUAJIRA,RIOHACHA,5,164,0,169
44035,GUAJIRA,ALBANIA,0,0,45,45
44078,GUAJIRA,BARRANCAS,0,0,36,36
